iter	Passed	Remaining
0	1	148
1	3	152
2	4	148
3	5	138
4	7	137
5	8	136
6	10	136
7	11	135
8	13	133
9	14	131
10	15	128
11	17	125
12	18	123
13	19	120
14	20	117
15	21	114
16	22	112
17	24	109
18	25	107
19	26	104
20	27	102
21	28	100
22	29	98
23	30	95
24	31	93
25	32	91
26	32	88
27	33	86
28	34	84
29	35	82
30	36	80
31	36	78
32	37	76
33	38	74
34	39	72
35	40	71
36	40	69
37	41	67
38	42	65
39	42	64
40	43	62
41	43	60
42	44	58
43	45	57
44	45	55
45	46	54
46	47	53
47	47	51
48	48	50
49	49	49
50	49	47
51	50	46
52	51	45
53	51	44
54	52	42
55	53	41
56	53	40
57	54	39
58	55	38
59	55	37
60	56	36
61	57	34
62	57	33
63	58	32
64	59	31
65	59	30
66	60	29
67	61	28
68	61	27
69	62	26
70	63	25
71	63	24
72	64	23
73	65	22
74	65	21
75	66	21
76	67	20
77	67	19
78	68	18
79	69	17
80	69	16
81	70	15
82	71	14
83	71	13
84	72	12
85	73	11
86	73	11
87	74	10
88	75	9
89	75	8
90	76	7
91	77	6
92	78	5
93	78	5
94	79	4
95	80	3
96	80	2
97	81	1
98	82	0
99	82	0
